"Code","Description"
"A","Agricultura, ganadería, silvicultura y pesca"
"01","Agricultura, ganadería, caza y actividades de servicios conexas"
"011","Cultivo de plantas no perennes"
"0111","Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas"
"0112","Cultivo de arroz"
"0113","Cultivo de hortalizas y melones, raíces y tubérculos"
"0114","Cultivo de caña de azúcar"
"0115","Cultivo de tabaco"
"0116","Cultivo de plantas de fibra"
"0119","Cultivo de otras plantas no perennes"
"012","Cultivo de plantas perennes"
"0121","Cultivo de uva"
"0122","Cultivo de frutas tropicales y subtropicales"
"0123","Cultivo de cítricos"
"0124","Cultivo de frutas de pepita y de hueso"
"0125","Cultivo de otros frutos y nueces de árboles y arbustos"
"0126","Cultivo de frutos oleaginosos"
"0127","Cultivo de plantas con las que se preparan bebidas"
"0128","Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas"
"0129","Cultivo de otras plantas perennes"
"013","Propagación de plantas"
"0130","Propagación de plantas"
"014","Ganadería"
"0141","Cría de ganado bovino y búfalos"
"0142","Cría de caballos y otros equinos"
"0143","Cría de camellos y otros camélidos"
"0144","Cría de ovejas y cabras"
"0145","Cría de cerdos"
"0146","Cría de aves de corral"
"0149","Cría de otros animales"
"015","Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta)"
"0150","Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta)"
"016","Actividades de apoyo a la agricultura y la ganadería y actividades poscosecha"
"0161","Actividades de apoyo a la agricultura"
"0162","Actividades de apoyo a la ganadería"
"0163","Actividades poscosecha"
"0164","Tratamiento de semillas para propagación"
"017","Caza ordinaria y mediante trampas y actividades de servicios conexas"
"0170","Caza ordinaria y mediante trampas y actividades de servicios conexas"
"02","Silvicultura y extracción de madera"
"021","Silvicultura y otras actividades forestales"
"0210","Silvicultura y otras actividades forestales"
"022","Extracción de madera"
"0220","Extracción de madera"
"023","Recolección de productos forestales distintos de la madera"
"0230","Recolección de productos forestales distintos de la madera"
"024","Servicios de apoyo a la silvicultura"
"0240","Servicios de apoyo a la silvicultura"
"03","Pesca y acuicultura"
"031","Pesca"
"0311","Pesca marítima"
"0312","Pesca de agua dulce"
"032","Acuicultura"
"0321","Acuicultura marina"
"0322","Acuicultura de agua dulce"
"B","Explotación de minas y canteras"
"05","Extracción de carbón de piedra y lignito"
"051","Extracción de carbón de piedra"
"0510","Extracción de carbón de piedra"
"052","Extracción de lignito"
"0520","Extracción de lignito"
"06","Extracción de petróleo crudo y gas natural"
"061","Extracción de petróleo crudo"
"0610","Extracción de petróleo crudo"
"062","Extracción de gas natural"
"0620","Extracción de gas natural"
"07","Extracción de minerales metalíferos"
"071","Extracción de minerales de hierro"
"0710","Extracción de minerales de hierro"
"072","Extracción de minerales metalíferos no ferrosos"
